#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err
Takeuchi_et_al_2003	0.03	0.0	0.010773197784380732	0.002608951080175927
Gruppioni_et_al_2013	0.0	0.3	0.02590206779734248	0.012195872540250343
Gruppioni_et_al_2013	0.3	0.45	0.038649049576026565	0.0038275843360302234
Gruppioni_et_al_2013	0.45	0.6	0.048774897362713475	0.006587153261918846
Gruppioni_et_al_2013	0.6	0.8	0.07069894832398939	0.010948592475886709
Gruppioni_et_al_2013	0.8	1.0	0.1147509467013702	0.016802782073042127
Gruppioni_et_al_2013	1.0	1.2	0.15482365003712686	0.020474296979717217
Gruppioni_et_al_2013	1.2	1.7	0.14344241121301426	0.01673823683398858
Gruppioni_et_al_2013	1.7	2.0	0.09677906332257966	0.009528823038910004
Gruppioni_et_al_2013	2.0	2.5	0.12370210811042263	0.03280025851215095
Gruppioni_et_al_2013	2.5	3.0	0.152597233913437	0.0730227237880136
Gruppioni_et_al_2013	3.0	4.2	0.059591855392616765	0.0548956522779927
